<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
LKOH,D,20111028,000000,1761.0000000
LKOH,D,20111031,000000,1758.1000000
LKOH,D,20111101,000000,1740.0000000
LKOH,D,20111102,000000,1760.0000000
LKOH,D,20111103,000000,1766.0000000
LKOH,D,20111107,000000,1805.0000000
LKOH,D,20111108,000000,1800.0000000
LKOH,D,20111109,000000,1764.7000000
LKOH,D,20111110,000000,1785.7000000
LKOH,D,20111111,000000,1735.3000000
LKOH,D,20111114,000000,1720.3000000
LKOH,D,20111115,000000,1742.1000000
LKOH,D,20111116,000000,1741.1000000
LKOH,D,20111117,000000,1742.6000000
LKOH,D,20111118,000000,1713.9000000
LKOH,D,20111121,000000,1647.9000000
LKOH,D,20111122,000000,1651.0000000
LKOH,D,20111123,000000,1659.0000000
LKOH,D,20111124,000000,1633.0000000
LKOH,D,20111125,000000,1644.8000000
LKOH,D,20111128,000000,1713.7000000
LKOH,D,20111129,000000,1692.0000000
LKOH,D,20111130,000000,1722.0000000
LKOH,D,20111201,000000,1704.0000000
LKOH,D,20111202,000000,1705.0000000
LKOH,D,20111205,000000,1729.0000000
LKOH,D,20111206,000000,1674.5000000
LKOH,D,20111207,000000,1658.0000000
LKOH,D,20111208,000000,1689.7000000
LKOH,D,20111209,000000,1615.0000000
LKOH,D,20111212,000000,1587.7000000
LKOH,D,20111213,000000,1623.1000000
LKOH,D,20111214,000000,1606.0000000
LKOH,D,20111215,000000,1623.4000000
LKOH,D,20111216,000000,1602.7000000
LKOH,D,20111219,000000,1633.0000000
LKOH,D,20111220,000000,1654.0000000
LKOH,D,20111221,000000,1634.9000000
LKOH,D,20111222,000000,1635.0000000
LKOH,D,20111223,000000,1641.1000000
LKOH,D,20111226,000000,1650.0000000
LKOH,D,20111227,000000,1655.1000000
LKOH,D,20111228,000000,1673.1000000
LKOH,D,20111229,000000,1685.1000000
LKOH,D,20111230,000000,1701.0000000
LKOH,D,20120103,000000,1731.0000000
LKOH,D,20120104,000000,1722.1000000
LKOH,D,20120105,000000,1723.2000000
LKOH,D,20120106,000000,1738.4000000
LKOH,D,20120109,000000,1754.3000000
LKOH,D,20120110,000000,1783.7000000
LKOH,D,20120111,000000,1782.0000000
LKOH,D,20120112,000000,1761.1000000
LKOH,D,20120113,000000,1751.2000000
LKOH,D,20120116,000000,1768.2000000
LKOH,D,20120117,000000,1795.0000000
LKOH,D,20120118,000000,1808.0000000
LKOH,D,20120119,000000,1820.0000000
LKOH,D,20120120,000000,1806.0000000
LKOH,D,20120123,000000,1815.4000000
LKOH,D,20120124,000000,1783.0000000
LKOH,D,20120125,000000,1780.0000000
LKOH,D,20120126,000000,1768.0000000
LKOH,D,20120127,000000,1765.0000000
LKOH,D,20120130,000000,1769.1000000
LKOH,D,20120131,000000,1766.3000000
LKOH,D,20120201,000000,1784.0000000
LKOH,D,20120202,000000,1797.5000000
LKOH,D,20120203,000000,1814.9000000
LKOH,D,20120206,000000,1812.0000000
LKOH,D,20120207,000000,1793.5000000
LKOH,D,20120208,000000,1817.1000000
LKOH,D,20120209,000000,1806.0000000
LKOH,D,20120210,000000,1810.6000000
LKOH,D,20120213,000000,1842.7000000
LKOH,D,20120214,000000,1865.0000000
LKOH,D,20120215,000000,1880.0000000
LKOH,D,20120216,000000,1879.9000000
LKOH,D,20120217,000000,1875.1000000
LKOH,D,20120220,000000,1879.0000000
LKOH,D,20120221,000000,1838.0000000
LKOH,D,20120222,000000,1777.2000000
LKOH,D,20120224,000000,1872.1000000
LKOH,D,20120227,000000,1865.9000000
LKOH,D,20120228,000000,1831.0000000
LKOH,D,20120229,000000,1875.1000000
LKOH,D,20120301,000000,1870.5000000
LKOH,D,20120302,000000,1892.0000000
LKOH,D,20120305,000000,1909.0000000
LKOH,D,20120306,000000,1843.9000000
LKOH,D,20120307,000000,1850.0000000
LKOH,D,20120311,000000,1883.1000000
LKOH,D,20120312,000000,1895.9000000
LKOH,D,20120313,000000,1915.4000000
LKOH,D,20120314,000000,1921.8000000
LKOH,D,20120315,000000,1924.9000000
LKOH,D,20120316,000000,1898.2000000
LKOH,D,20120319,000000,1862.1000000
LKOH,D,20120320,000000,1848.9000000
LKOH,D,20120321,000000,1842.2000000
LKOH,D,20120322,000000,1820.1000000
LKOH,D,20120323,000000,1834.7000000
LKOH,D,20120326,000000,1850.0000000
LKOH,D,20120327,000000,1846.5000000
LKOH,D,20120328,000000,1803.0000000
LKOH,D,20120329,000000,1778.6000000
LKOH,D,20120330,000000,1781.4000000
LKOH,D,20120402,000000,1775.0000000
LKOH,D,20120403,000000,1820.4000000
LKOH,D,20120404,000000,1783.2000000
LKOH,D,20120405,000000,1801.4000000
LKOH,D,20120406,000000,1771.0000000
LKOH,D,20120409,000000,1790.0000000
LKOH,D,20120410,000000,1785.0000000
LKOH,D,20120411,000000,1814.1000000
LKOH,D,20120412,000000,1812.0000000
LKOH,D,20120413,000000,1811.0000000
LKOH,D,20120416,000000,1785.1000000
LKOH,D,20120417,000000,1777.7000000
LKOH,D,20120418,000000,1775.8000000
LKOH,D,20120419,000000,1799.0000000
LKOH,D,20120420,000000,1812.7000000
LKOH,D,20120423,000000,1775.0000000
LKOH,D,20120424,000000,1768.5000000
LKOH,D,20120425,000000,1766.0000000
LKOH,D,20120426,000000,1756.0000000
LKOH,D,20120427,000000,1791.7000000
LKOH,D,20120428,000000,1794.3000000
